92,9
90,1
85,5
13,2
31,1
81,3
39,3
22,1
18,1
74,8
92,7
25,7
36,8
81,4
78,1
47,0
100,0
108,2
22,9
107,0
40,1
104,9
99,2
30,2
97,0
102,7
105,0
10,2
47,2
29,1
48,8
72,5
15,6
101,7
60,2
35,0
30,8
87,3
25,0
22,3
45,5
33,5
94,5
26,4
25,4
84,8
11,3
46,3
41,4
77,6
24,3
41,1
68,7
90,0
37,6
20,8
98,8
96,9
94,0
94,6
36,2
101,2
42,9
94,4
18,1
97,9
78,3
20,0
103,4
106,9
459,20
279,11
550,18
131,13
193,12
512,18
520,22
498,28
229,18
208,19
521,26
382,29
188,22
120,24
251,15
288,14
553,27
487,11
542,25
245,23
176,22
368,27
276,14
244,25
493,21
205,16
220,25
508,17
161,21
355,25
477,20
125,13
309,20
202,25
407,27
197,30
288,26
200,13
338,30
136,20
495,20
295,19
335,13
398,17
240,20
468,14
392,27
362,29
237,17
328,11
132,14
254,27
203,25
380,25
558,28
515,17
561,30
186,21
209,13
556,24
432,24
508,26
259,18
475,21
231,25
241,26
299,15
101,29
134,23
171,15
633,29
260,25
268,12
953,14
658,13
829,30
738,12
149,19
402,22
385,30
839,14
145,14
276,30
1049,12
572,27
467,30
229,30
128,19
867,29
962,18
614,20
697,23
930,17
1008,11
745,28
635,15
783,13
279,18
793,16
718,12
1034,29
878,28
812,21
293,12
328,18
196,12
394,28
972,28
723,18
329,14
292,30
618,20
925,13
657,16
575,15
317,18
348,19
786,19
577,24
298,18
1052,22
178,29
688,12
627,15
186,24
1060,26
744,18
241,25
333,18
705,14
643,28
257,17
165,30
905,28
600,29
160,19
694,30
658,17
590,20
570,27
